request_id,successful,ttft,request_latency,num_input_tokens,num_output_tokens,decode_speed,submit_time,first_token_time,finish_time,error
doc54_q0,True,2.800332546234131,6.458952188491821,16022,128,34.98587240979572,1787896088.3170373,1787896091.11737,1787896094.7759895,
doc255_q2,True,4.768407106399536,6.461526870727539,16024,128,75.60008612314736,1787896088.4117014,1787896093.1801085,1787896094.8732283,
doc318_q1,True,2.773585319519043,6.453109502792358,16024,128,34.78710659978074,1787896094.7762396,1787896097.549825,1787896101.2293491,
doc229_q2,True,4.755013465881348,6.459718227386475,16024,128,75.08631576002965,1787896094.873314,1787896099.6283274,1787896101.3330321,
doc124_q0,True,2.805995225906372,6.454256057739258,16023,128,35.08521070728729,1787896101.2296333,1787896104.0356286,1787896107.6838894,
doc261_q1,True,4.751406669616699,6.449081182479858,16024,128,75.39725608775598,1787896101.3331506,1787896106.0845573,1787896107.7822318,
doc70_q2,True,0.5842063426971436,4.424844741821289,16023,128,33.327792595415985,1787896107.6841526,1787896108.268359,1787896112.1089973,
doc201_q2,True,2.7865302562713623,4.430553674697876,16024,128,77.85777171137144,1787896107.782305,1787896110.5688353,1787896112.2128587,
doc77_q2,True,2.8144407272338867,6.232383489608765,16023,128,37.449427594001655,1787896112.109269,1787896114.9237096,1787896118.3416524,
doc294_q0,True,4.7353668212890625,6.226528882980347,16023,128,85.8390937433197,1787896112.2129622,1787896116.948329,1787896118.439491,
doc191_q2,True,2.8135581016540527,6.4628705978393555,16024,128,35.075099798606146,1787896118.341844,1787896121.1554022,1787896124.8047147,
doc212_q0,True,4.774521589279175,6.464756727218628,16023,128,75.72910841035016,1787896118.4396176,1787896123.2141392,1787896124.9043744,
doc245_q2,True,2.8334360122680664,6.471435070037842,16024,128,35.18417623738161,1787896124.8049417,1787896127.6383777,1787896131.2763767,
doc37_q0,True,4.780724048614502,6.492800951004028,16022,128,74.76299681477616,1787896124.9044802,1787896129.6852043,1787896131.3972812,
doc312_q0,True,2.8486835956573486,6.305950880050659,16023,128,37.02346086396434,1787896131.2766585,1787896134.1253421,1787896137.5826094,
doc50_q2,True,4.787586688995361,6.282309532165527,16023,128,85.63460482648682,1787896131.3974018,1787896136.1849885,1787896137.6797113,
doc125_q0,True,2.8212828636169434,6.451505661010742,16023,128,35.25954387479839,1787896137.5829344,1787896140.4042172,1787896144.03444,
doc23_q0,True,4.764609098434448,6.4536519050598145,16022,128,75.78256720191622,1787896137.6798375,1787896142.4444466,1787896144.1334894,
doc156_q1,True,2.8330237865448,6.2821574211120605,16024,128,37.11076854697144,1787896144.034745,1787896146.8677688,1787896150.3169024,
doc43_q2,True,4.799851179122925,6.287666082382202,16023,128,86.03220717818942,1787896144.1335883,1787896148.9334395,1787896150.4212544,
doc101_q0,True,0.8167116641998291,4.417534828186035,16023,128,35.54742739943403,1787896150.3172088,1787896151.1339204,1787896154.7347436,
doc115_q0,True,2.742987632751465,4.419045925140381,16023,128,76.36965884853521,1787896150.4213321,1787896153.1643198,1787896154.840378,
doc268_q2,True,2.808058261871338,6.289168834686279,16024,128,36.76987482086642,1787896154.7349727,1787896157.543031,1787896161.0241416,
doc276_q2,True,4.779372930526733,6.297325372695923,16024,128,84.3241174388079,1787896154.840461,1787896159.619834,1787896161.1377864,
doc120_q0,True,2.837937831878662,6.490840673446655,16023,128,35.04062537427263,1787896161.0244477,1787896163.8623855,1787896167.5152884,
doc47_q0,True,4.786487340927124,6.491286277770996,16022,128,75.08216789304721,1787896161.1378877,1787896165.924375,1787896167.629174,
doc171_q0,True,2.823543071746826,6.475679159164429,16023,128,35.04798204015114,1787896167.5155678,1787896170.3391109,1787896173.991247,
doc317_q0,True,4.775468349456787,6.481921672821045,16023,128,75.00937661022519,1787896167.6292982,1787896172.4047666,1787896174.11122,
doc324_q0,True,2.844207763671875,6.463027000427246,16023,128,35.370653140101204,1787896173.991523,1787896176.8357308,1787896180.45455,
doc188_q2,True,4.773794651031494,6.44306206703186,16024,128,76.6803441875678,1787896174.1113443,1787896178.885139,1787896180.5544064,
doc263_q0,True,2.8049991130828857,6.437587261199951,16023,128,35.236584710641694,1787896180.4548495,1787896183.2598486,1787896186.8924367,
doc145_q0,True,4.749809503555298,6.452437877655029,16023,128,75.17788493785692,1787896180.5545301,1787896185.3043396,1787896187.006968,
doc43_q0,True,0.6073260307312012,4.402234077453613,16022,128,33.72940751767387,1787896186.8927295,1787896187.5000556,1787896191.2949636,
doc155_q1,True,2.7578532695770264,4.402429103851318,16024,128,77.83161915210984,1787896187.0070777,1787896189.764931,1787896191.4095068,
doc86_q0,True,2.824251413345337,6.281887531280518,16022,128,37.01951149111625,1787896191.2951381,1787896194.1193895,1787896197.5770257,
doc181_q1,True,4.754622220993042,6.284499883651733,16024,128,83.6668206381651,1787896191.4095821,1787896196.1642044,1787896197.694082,
doc255_q1,True,0.6027381420135498,4.456928730010986,16024,128,33.21060468535531,1787896197.577226,1787896198.179964,1787896202.0341547,
doc121_q1,True,2.7754697799682617,4.454754829406738,16024,128,76.2229140566701,1787896197.694224,1787896200.469694,1787896202.148979,
doc235_q1,True,2.816680669784546,6.442935466766357,16024,128,35.29812634968078,1787896202.0344806,1787896204.8511612,1787896208.477416,
doc19_q1,True,4.753422498703003,6.4232518672943115,16023,128,76.6545387257038,1787896202.1491146,1787896206.902537,1787896208.5723665,
doc59_q1,True,2.8210926055908203,6.452229261398315,16023,128,35.25067000584566,1787896208.4777403,1787896211.298833,1787896214.9299695,
doc226_q0,True,4.767441987991333,6.458447456359863,16023,128,75.69461033351564,1787896208.5724359,1787896213.3398778,1787896215.0308833,
doc240_q2,True,2.8151090145111084,6.452439069747925,16024,128,35.19064755086304,1787896214.9302177,1787896217.7453268,1787896221.3826568,
doc164_q0,True,4.750325441360474,6.4572529792785645,16023,128,74.9885376833977,1787896215.0309684,1787896219.7812939,1787896221.4882214,
doc9_q1,True,2.8388969898223877,6.486083984375,16022,128,35.09554080752619,1787896221.3828926,1787896224.2217896,1787896227.8689766,
doc246_q1,True,4.788039922714233,6.484069585800171,16024,128,75.4703781342498,1787896221.488308,1787896226.2763479,1787896227.9723775,
doc243_q2,True,2.818122625350952,4.511553525924683,16024,128,75.58619602171774,1787896227.8693159,1787896230.6874385,1787896232.3808694,
doc101_q1,True,2.7193193435668945,4.419646978378296,16024,128,75.27960928200619,1787896227.972456,1787896230.6917753,1787896232.392103,
